id_avaliacao,id_funcionario,data_pesquisa,nota_satisfacao_1a5,horas_extras_mensais
A001,F020,13/07/2024,4,0.0
A002,F003,2024-10-11,1,2.2
A003,F012,05/12/2022,2,1.6
A004,F044,20/06/2023,3,18.7
A005,F099,2024-07-11,5,0.0
A006,F044,21/04/2022,6,16.4
A007,F030,2022-11-23,3,0.0
A008,F040,12/05/2022,4,11.7
A009,F026,2022-03-06,4,13.6
A010,F013,2024-03-08,1,0.0
A011,F007,2023-05-22,1,20.8
A012,F005,2023-11-14,5,4.4
A013,F035,2023-02-08,2,21.8
A014,F028,09/07/2024,2,20.0
A015,F007,20/04/2023,3,13.7
A016,F014,22/11/2024,5,6.8
A017,F030,24 de junho de 2024,1,6.5
A018,F077,2022-04-05,5,11.7
A019,F048,2022-05-27,4,16.4
A020,F033,03/08/2022,1,18.9
A021,F050,12/09/2023,2,5.8
A022,F049,2023-11-24,1,18.1
A023,F010,08 de novembro de 2022,4,19.5
A024,F037,2024-04-21,1,20.0
A025,F013,2023-02-05,2,21.9
A026,F002,2022-09-05,4,12.9
A027,F015,2023-11-04,3,0.7
A028,F025,08 de agosto de 2023,5,15.1
A029,F008,02/06/2024,3,20.9
A030,F045,07/11/2022,4,1.1
A031,F019,07/10/2022,4,12.9
A032,F046,25/06/2022,4,6.1
A033,F039,09 de setembro de 2022,2,19.1
A034,F018,19 de abril de 2023,4,5.8
A035,F014,04 de setembro de 2023,5,9.9
A036,F012,15/02/2024,2,16.0
A037,F048,10/09/2024,4,1.3
A038,F004,2023-07-22,2,1.6
A039,F042,2024-03-03,5,8.4
A040,F007,17/08/2023,5,18.8
A041,F009,28/12/2024,8,9.1
A042,F026,2023-07-24,1,14.6
A043,F011,16 de novembro de 2022,3,1.9
A044,F048,2024-12-12,4,14.7
A045,F027,28 de julho de 2024,3,6.3
A046,F023,2022-10-17,5,4.9
A047,F005,2024-06-04,3,18.6
A048,F050,2024-10-22,1,0.6
A049,F034,12/06/2023,3,12.5
A050,F032,21 de dezembro de 2022,3,11.7
A051,F011,2023-06-06,5,17.1
A052,F003,05/01/2022,5,14.8
A053,F024,2024-07-16,4,4.7
A054,F022,2023-07-04,2,11.6
A055,F047,20 de julho de 2022,4,6.6
A056,F010,10 de maio de 2022,5,10.9
A057,F001,2022-07-18,4,1.6
A058,F005,2022-07-01,3,12.7
A059,F041,14 de novembro de 2024,3,0.5
A060,F040,27/08/2024,5,9.6
A061,F009,13 de outubro de 2023,-1,19.2
A062,F088,25 de junho de 2022,4,13.9
A063,F021,12/06/2022,4,5.2
A064,F001,20/03/2022,3,3.9
A065,F039,2023-08-25,2,15.0
A066,F006,2024-11-20,2,3.3
A067,F017,2023-11-10,5,11.2
A068,F042,02/01/2023,4,14.2
A069,F024,20/10/2022,2,9.9
A070,F027,11/04/2024,4,21.1
